Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000005107,0.093762613,5.222215955,1.019974165,0.312525137,0.767339348
ENSRNOG00000002866,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000004009,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000010880,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000013610,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000016075,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000024204,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000039571,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000053175,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000061619,-1.36244209,-3.381203058,1.019947013,0.312531578,0.767339348
ENSRNOG00000005021,-0.122779936,5.986878002,1.018997758,0.312756862,0.767835142
ENSRNOG00000008895,-1.36157018,-3.38036564,1.01873282,0.312819776,0.767874941
ENSRNOG00000011200,-1.36157018,-3.38036564,1.01873282,0.312819776,0.767874941
ENSRNOG00000025910,0.111926973,4.367352379,1.018565057,0.312859624,0.767915429
ENSRNOG00000009820,0.090931539,7.434309521,1.018428781,0.312891997,0.767937568
ENSRNOG00000000236,0.095075429,7.058656768,1.017631579,0.313081465,0.768345235
ENSRNOG00000016110,-0.407384092,-0.870893547,1.017163376,0.313192811,0.768387404
ENSRNOG00000010595,0.095423314,5.200923445,1.017041128,0.313221891,0.768387404
ENSRNOG00000023828,-1.360017402,-3.381259263,1.016773426,0.313285586,0.768387404
ENSRNOG00000025108,-1.360017402,-3.381259263,1.016773426,0.313285586,0.768387404
ENSRNOG00000027837,-1.360017402,-3.381259263,1.016773426,0.313285586,0.768387404
ENSRNOG00000031515,-1.360017402,-3.381259263,1.016773426,0.313285586,0.768387404
ENSRNOG00000033164,-1.360017402,-3.381259263,1.016773426,0.313285586,0.768387404
ENSRNOG00000046197,-1.360017402,-3.381259263,1.016773426,0.313285586,0.768387404
ENSRNOG00000006841,-0.140866171,8.024531566,1.016660959,0.31331235,0.768395735
ENSRNOG00000020105,-0.156151462,3.415172669,1.016146485,0.313434821,0.768595826
ENSRNOG00000000887,0.474263553,-0.782056388,1.015830252,0.313510131,0.768595826
ENSRNOG00000002641,-1.359127354,-3.380421875,1.015533067,0.313580926,0.768595826
ENSRNOG00000004772,-1.359127354,-3.380421875,1.015533067,0.313580926,0.768595826
ENSRNOG00000021009,-1.359127354,-3.380421875,1.015533067,0.313580926,0.768595826
ENSRNOG00000054723,-1.359127354,-3.380421875,1.015533067,0.313580926,0.768595826
ENSRNOG00000057899,-1.359127354,-3.380421875,1.015533067,0.313580926,0.768595826
ENSRNOG00000060758,-1.359127354,-3.380421875,1.015533067,0.313580926,0.768595826
ENSRNOG00000050758,-0.18865024,1.889516144,1.015400216,0.313612581,0.768616122
ENSRNOG00000026787,-1.239950601,-3.131780167,1.014748595,0.313767904,0.768939483
ENSRNOG00000059618,-0.488974684,-1.019784862,1.014486335,0.313830446,0.769035438
ENSRNOG00000007922,-1.357595012,-3.381315465,1.013608614,0.314039876,0.769433965
ENSRNOG00000057728,-1.357595012,-3.381315465,1.013608614,0.314039876,0.769433965
ENSRNOG00000046621,0.14519496,3.009615751,1.013357895,0.314099733,0.769523285
ENSRNOG00000003654,-1.35683052,-3.379916415,1.012469872,0.31431186,0.769985615
ENSRNOG00000020492,0.758387122,-2.52451008,1.011509195,0.314541554,0.770388431
ENSRNOG00000014071,-0.165289568,2.105373746,1.011474274,0.314549908,0.770388431
ENSRNOG00000012843,-0.644859913,-2.172638043,1.011405927,0.314566258,0.770388431
ENSRNOG00000017265,-0.113795956,5.929939928,1.011390265,0.314570005,0.770388431
ENSRNOG00000001891,-0.118692741,3.54426161,1.010792316,0.314713099,0.770681475
ENSRNOG00000060513,-0.763137361,-2.336486714,1.010300349,0.314830895,0.770912528
ENSRNOG00000027039,0.101562844,4.850848841,1.010014727,0.314899311,0.771022639
ENSRNOG00000030463,0.355704321,-0.509359696,1.008823133,0.315184945,0.771495423
ENSRNOG00000018434,0.710890131,-2.174148848,1.008712534,0.315211474,0.771495423
ENSRNOG00000000137,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000022445,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000022955,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000024882,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000031974,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000046468,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000056685,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000057349,-1.353490571,-3.380547817,1.008230947,0.315327023,0.771495423
ENSRNOG00000000098,0.093791191,6.104682744,1.007163842,0.315583255,0.772064888
ENSRNOG00000042276,0.119865379,4.823645761,1.005615691,0.31595548,0.77267001
ENSRNOG00000008351,-0.261166729,0.391252472,1.00551289,0.315980217,0.77267001
ENSRNOG00000009106,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
